ticker,market_cap,stock_price,date,log_market_cap
GM,23671407001.3314,25.37505513971502,2016-03-01,23.88753370109399
GM,23599505730.05577,25.29797908238002,2016-04-01,23.88449160511695
GM,23575575018.829025,25.272326060703822,2016-05-01,23.883477056211063
GM,22425924222.092556,24.03993407162753,2016-06-01,23.833483457959172
GM,23647497307.69938,25.349424648284913,2016-07-01,23.88652312420021
GM,24205518822.886475,25.947607372118078,2016-08-01,23.909846494641982
GM,24618375029.84033,26.39017713637579,2016-09-01,23.926758953487134
GM,24892870262.659473,26.68442798796154,2016-10-01,23.937847264582476
GM,25680304714.619396,27.528534662155877,2016-11-01,23.96899018153186
GM,28396740673.15272,30.440474464779808,2016-12-01,24.069540210497728
GM,29158328464.077263,31.25687427520752,2017-01-01,24.096006419538405
GM,28793530497.375202,30.865821537218597,2017-02-01,24.08341656334617
GM,28836002085.129574,30.911349835603133,2017-03-01,24.084890515798687
GM,27104240680.117603,29.054952320299652,2017-04-01,24.0229560352511
GM,26635338711.590416,28.552303140813653,2017-05-01,24.00550469402034
GM,27694057810.789783,29.68721901286732,2017-06-01,24.04448370766104
GM,28813598164.244396,30.887333488464357,2017-07-01,24.08411327113728
GM,28455453435.93012,30.50341282720151,2017-08-01,24.071605664068002
GM,31459629336.751312,33.72380142211914,2017-09-01,24.171970952458544
GM,36438000026.2517,39.06046902049672,2017-10-01,24.318878023810353
GM,35285320039.26134,37.8248298281715,2017-11-01,24.286732851480256
GM,34354783770.65735,36.82732219696045,2017-12-01,24.260007111439545
GM,35717805532.57594,38.28844161260696,2018-01-01,24.298915155809254
GM,33798951679.034603,36.23148647107576,2018-02-01,24.243695623541218
GM,30717606697.009254,32.928374880836124,2018-03-01,24.148101835192577
GM,31568693107.70882,33.840714590890066,2018-04-01,24.17543174200784
GM,31115906504.247227,33.35534061085094,2018-05-01,24.160984988537976
GM,35651866336.68035,38.21775672549293,2018-06-01,24.297067334096454
GM,32655658359.151333,35.00590951102121,2018-07-01,24.20928398114975
GM,30764776833.312717,32.9789398856785,2018-08-01,24.149636263197806
GM,29196646082.748077,31.297949640374433,2018-09-01,24.097319679443853
GM,27740892429.705242,29.73742435289466,2018-10-01,24.046173422537866
GM,30652434121.66513,32.858511788504465,2018-11-01,24.1459779128691
GM,29635190082.24385,31.768055966025905,2018-12-01,24.112228346278815
GM,31468611845.34295,33.73343040829613,2019-01-01,24.172256436638108
GM,33648863926.482025,36.07059679533306,2019-02-01,24.239245130995656
GM,32681427926.017857,35.03353373209635,2019-03-01,24.21007280017024
GM,33891583033.545143,36.33078457060314,2019-04-01,24.24643253240821
GM,31759550244.790516,34.04530785300515,2019-05-01,24.181459312166844
GM,31747425681.850292,34.03231067657471,2019-06-01,24.181077478111273
GM,34385745209.89102,36.860511953180485,2019-07-01,24.260907932011822
GM,33045653849.86089,35.42397325689142,2019-08-01,24.221155892323427
GM,33538633329.45274,35.952432823181155,2019-09-01,24.235963845029243
GM,31649805514.071957,33.927664715310804,2019-10-01,24.177997840622677
GM,32638455124.540596,34.98746814727783,2019-11-01,24.20875703517894
GM,32163268688.57956,34.47808220272972,2019-12-01,24.19409091441883
GM,31055393285.443913,33.2904722122919,2020-01-01,24.159038327036043
GM,30162089401.33623,32.33287660699142,2020-02-01,24.129851654919243
GM,21189548181.439938,22.714575160633434,2020-03-01,23.7767738867454
GM,19480845459.521782,20.882895878383092,2020-04-01,23.692697535631808
GM,21528992326.85571,23.07844934463501,2020-05-01,23.792666344015846
GM,24658252824.215294,26.432924964211203,2020-06-01,23.928377481573044
GM,23118956652.855766,24.78284454345703,2020-07-01,23.863918752260677
GM,25609569226.042767,27.452708289736794,2020-08-01,23.966231916479195
GM,27391369842.99222,29.362746374947683,2020-09-01,24.03349383149335
GM,30054602983.808754,32.21765431490812,2020-10-01,24.126281663694947
GM,36937120747.42806,39.59551181793213,2020-11-01,24.332482864646902
GM,38356142992.95035,41.11666211214933,2020-12-01,24.370180534277367
GM,44250515801.28085,47.435257158781354,2021-01-01,24.513132864858534
GM,47985130587.38208,51.43865484940378,2021-02-01,24.594157020433205
GM,50827159857.52076,54.48522700434146,2021-03-01,24.651696691524855
GM,52851058904.97705,56.65478751772926,2021-04-01,24.690743585106915
GM,51202153782.28188,54.887209510803224,2021-05-01,24.659047434167313
GM,54796480578.329926,58.74022258411754,2021-06-01,24.72689180581482
