TICKER	EVENT_DATE	QUARTER	FISCAL_YEAR
BLK	2017-01-13	Q4	2016
BLK	2017-04-19	Q1	2017
BLK	2017-07-17	Q2	2017
BLK	2017-10-11	Q3	2017
BLK	2018-01-12	Q4	2017
BLK	2018-04-12	Q1	2018
BLK	2018-07-16	Q2	2018
BLK	2018-10-16	Q3	2018
BLK	2018-12-05	Q-1	2018
BLK	2019-01-16	Q4	2018
BLK	2019-04-16	Q1	2019
BLK	2019-07-19	Q2	2019
BLK	2019-10-15	Q3	2019
BLK	2019-12-11	Q-1	2019
BLK	2020-01-15	Q4	2019
BLK	2020-04-16	Q1	2020
BLK	2020-05-29	Q-1	2020
BLK	2020-07-17	Q2	2020
BLK	2020-10-13	Q3	2020
BLK	2021-01-14	Q4	2020
BMY	2007-07-26	Q2	2007
BMY	2007-10-25	Q3	2007
BMY	2008-01-31	Q4	2007
BMY	2008-04-25	Q1	2008
BMY	2008-07-28	Q2	2008
BMY	2008-10-23	Q3	2008
BMY	2009-01-27	Q4	2008
BMY	2009-04-28	Q1	2009
BMY	2009-07-23	Q2	2009
BMY	2009-10-22	Q3	2009
BMY	2010-01-28	Q4	2009
BMY	2010-04-30	Q1	2010
BMY	2010-07-22	Q2	2010
